Category: All categories

Day,bitcoin: (Worldwide)
2020-01-01,22
2020-01-02,22
2020-01-03,25
2020-01-04,22
2020-01-05,22
2020-01-06,25
2020-01-07,34
2020-01-08,38
2020-01-09,27
2020-01-10,26
2020-01-11,23
2020-01-12,22
2020-01-13,23
2020-01-14,38
2020-01-15,36
2020-01-16,28
2020-01-17,29
2020-01-18,26
2020-01-19,29
2020-01-20,27
2020-01-21,26
2020-01-22,24
2020-01-23,24
2020-01-24,23
2020-01-25,21
2020-01-26,20
2020-01-27,25
2020-01-28,31
2020-01-29,32
2020-01-30,32
2020-01-31,28
2020-02-01,24
2020-02-02,24
2020-02-03,25
2020-02-04,27
2020-02-05,31
2020-02-06,34
2020-02-07,29
2020-02-08,26
2020-02-09,40
2020-02-10,35
2020-02-11,37
2020-02-12,41
2020-02-13,37
2020-02-14,30
2020-02-15,28
2020-02-16,27
2020-02-17,32
2020-02-18,31
2020-02-19,33
2020-02-20,32
2020-02-21,28
2020-02-22,23
2020-02-23,24
2020-02-24,30
2020-02-25,29
2020-02-26,36
2020-02-27,34
2020-02-28,35
2020-02-29,26
2020-03-01,25
2020-03-02,29
2020-03-03,27
2020-03-04,28
2020-03-05,30
2020-03-06,29
2020-03-07,23
2020-03-08,26
2020-03-09,52
2020-03-10,40
2020-03-11,34
2020-03-12,74
2020-03-13,100
2020-03-14,65
2020-03-15,55
2020-03-16,72
2020-03-17,60
2020-03-18,56
2020-03-19,60
2020-03-20,59
2020-03-21,51
2020-03-22,44
2020-03-23,49
2020-03-24,49
2020-03-25,43
2020-03-26,40
2020-03-27,37
2020-03-28,39
2020-03-29,37
2020-03-30,38
2020-03-31,35
2020-04-01,34
2020-04-02,41
2020-04-03,37
2020-04-04,34
2020-04-05,30
2020-04-06,41
2020-04-07,42
2020-04-08,37
2020-04-09,35
2020-04-10,38
2020-04-11,36
2020-04-12,33
2020-04-13,38
2020-04-14,36
2020-04-15,35
2020-04-16,38
2020-04-17,35
2020-04-18,32
2020-04-19,33
2020-04-20,35
2020-04-21,34
2020-04-22,33
2020-04-23,38
2020-04-24,39
2020-04-25,36
2020-04-26,37
2020-04-27,38
2020-04-28,37
2020-04-29,56
2020-04-30,66
2020-05-01,49
2020-05-02,46
2020-05-03,46
2020-05-04,43
2020-05-05,44
2020-05-06,49
2020-05-07,61
2020-05-08,67
2020-05-09,59
2020-05-10,75
2020-05-11,90
2020-05-12,65
2020-05-13,56
2020-05-14,57
2020-05-15,49
2020-05-16,43
2020-05-17,45
2020-05-18,45
2020-05-19,41
2020-05-20,41
2020-05-21,44
2020-05-22,40
2020-05-23,35
2020-05-24,36
2020-05-25,41
2020-05-26,38
2020-05-27,37
2020-05-28,36
2020-05-29,35
2020-05-30,31
2020-05-31,32
2020-06-01,33
