Category: All categories

Day,bitcoin: (Worldwide)
2021-06-01,71
2021-06-02,70
2021-06-03,70
2021-06-04,78
2021-06-05,68
2021-06-06,73
2021-06-07,69
2021-06-08,95
2021-06-09,86
2021-06-10,76
2021-06-11,66
2021-06-12,56
2021-06-13,59
2021-06-14,73
2021-06-15,61
2021-06-16,56
2021-06-17,52
2021-06-18,51
2021-06-19,48
2021-06-20,52
2021-06-21,76
2021-06-22,100
2021-06-23,73
2021-06-24,62
2021-06-25,61
2021-06-26,58
2021-06-27,54
2021-06-28,57
2021-06-29,57
2021-06-30,50
2021-07-01,47
2021-07-02,45
2021-07-03,44
2021-07-04,47
2021-07-05,46
2021-07-06,43
2021-07-07,39
2021-07-08,44
2021-07-09,41
2021-07-10,36
2021-07-11,36
2021-07-12,39
2021-07-13,39
2021-07-14,42
2021-07-15,41
2021-07-16,42
2021-07-17,38
2021-07-18,38
2021-07-19,47
2021-07-20,59
2021-07-21,55
2021-07-22,49
2021-07-23,42
2021-07-24,42
2021-07-25,44
2021-07-26,80
2021-07-27,57
2021-07-28,55
2021-07-29,48
2021-07-30,47
2021-07-31,47
2021-08-01,44
2021-08-02,46
2021-08-03,43
2021-08-04,42
2021-08-05,42
2021-08-06,46
2021-08-07,52
2021-08-08,51
2021-08-09,55
2021-08-10,53
2021-08-11,55
2021-08-12,53
2021-08-13,49
2021-08-14,47
2021-08-15,46
2021-08-16,48
2021-08-17,46
2021-08-18,45
2021-08-19,42
2021-08-20,48
2021-08-21,46
2021-08-22,45
2021-08-23,56
2021-08-24,50
2021-08-25,47
2021-08-26,45
2021-08-27,41
2021-08-28,39
2021-08-29,37
2021-08-30,39
2021-08-31,41
2021-09-01,38
2021-09-02,41
2021-09-03,43
2021-09-04,38
2021-09-05,39
2021-09-06,45
2021-09-07,76
2021-09-08,70
2021-09-09,51
2021-09-10,46
2021-09-11,39
2021-09-12,38
2021-09-13,44
2021-09-14,40
2021-09-15,40
2021-09-16,39
2021-09-17,36
2021-09-18,34
2021-09-19,31
2021-09-20,50
2021-09-21,52
2021-09-22,46
2021-09-23,42
2021-09-24,61
2021-09-25,45
2021-09-26,40
2021-09-27,39
2021-09-28,39
2021-09-29,38
2021-09-30,37
2021-10-01,47
2021-10-02,39
2021-10-03,37
2021-10-04,42
2021-10-05,48
2021-10-06,61
2021-10-07,53
2021-10-08,48
2021-10-09,41
2021-10-10,41
2021-10-11,52
2021-10-12,50
2021-10-13,46
2021-10-14,49
2021-10-15,68
2021-10-16,61
2021-10-17,50
2021-10-18,60
2021-10-19,70
2021-10-20,88
2021-10-21,79
2021-10-22,65
2021-10-23,50
2021-10-24,48
2021-10-25,55
2021-10-26,58
2021-10-27,62
2021-10-28,55
2021-10-29,51
2021-10-30,44
2021-10-31,43
2021-11-01,45
2021-11-02,48
2021-11-03,45
2021-11-04,46
2021-11-05,43
2021-11-06,38
2021-11-07,39
2021-11-08,56
2021-11-09,64
2021-11-10,61
2021-11-11,52
2021-11-12,49
2021-11-13,45
2021-11-14,46
2021-11-15,48
2021-11-16,62
2021-11-17,54
2021-11-18,56
2021-11-19,57
2021-11-20,46
2021-11-21,42
2021-11-22,49
2021-11-23,53
2021-11-24,52
2021-11-25,46
2021-11-26,59
2021-11-27,48
2021-11-28,45
2021-11-29,48
2021-11-30,50
2021-12-01,44
2021-12-02,43
2021-12-03,44
2021-12-04,100
2021-12-05,70
2021-12-06,69
2021-12-07,58
2021-12-08,52
2021-12-09,52
2021-12-10,50
2021-12-11,45
2021-12-12,44
2021-12-13,55
2021-12-14,56
2021-12-15,52
2021-12-16,47
2021-12-17,46
2021-12-18,42
2021-12-19,39
2021-12-20,46
2021-12-21,47
2021-12-22,45
2021-12-23,44
2021-12-24,47
2021-12-25,42
2021-12-26,41
2021-12-27,44
2021-12-28,46
2021-12-29,45
2021-12-30,45
2021-12-31,42
2022-01-01,40
