Category: All categories

Day,bitcoin: (Worldwide)
2020-06-01,22
2020-06-02,32
2020-06-03,25
2020-06-04,24
2020-06-05,23
2020-06-06,19
2020-06-07,20
2020-06-08,22
2020-06-09,22
2020-06-10,22
2020-06-11,24
2020-06-12,22
2020-06-13,17
2020-06-14,17
2020-06-15,22
2020-06-16,21
2020-06-17,20
2020-06-18,19
2020-06-19,18
2020-06-20,16
2020-06-21,15
2020-06-22,19
2020-06-23,20
2020-06-24,19
2020-06-25,18
2020-06-26,18
2020-06-27,16
2020-06-28,18
2020-06-29,18
2020-06-30,18
2020-07-01,17
2020-07-02,17
2020-07-03,16
2020-07-04,14
2020-07-05,15
2020-07-06,17
2020-07-07,17
2020-07-08,19
2020-07-09,18
2020-07-10,16
2020-07-11,15
2020-07-12,15
2020-07-13,17
2020-07-14,18
2020-07-15,22
2020-07-16,27
2020-07-17,19
2020-07-18,28
2020-07-19,16
2020-07-20,15
2020-07-21,17
2020-07-22,17
2020-07-23,20
2020-07-24,19
2020-07-25,19
2020-07-26,24
2020-07-27,37
2020-07-28,40
2020-07-29,31
2020-07-30,28
2020-07-31,29
2020-08-01,35
2020-08-02,35
2020-08-03,29
2020-08-04,26
2020-08-05,28
2020-08-06,31
2020-08-07,27
2020-08-08,24
2020-08-09,22
2020-08-10,29
2020-08-11,28
2020-08-12,26
2020-08-13,24
2020-08-14,25
2020-08-15,23
2020-08-16,23
2020-08-17,30
2020-08-18,29
2020-08-19,26
2020-08-20,24
2020-08-21,22
2020-08-22,20
2020-08-23,18
2020-08-24,22
2020-08-25,23
2020-08-26,21
2020-08-27,20
2020-08-28,19
2020-08-29,16
2020-08-30,17
2020-08-31,19
2020-09-01,22
2020-09-02,23
2020-09-03,25
2020-09-04,27
2020-09-05,23
2020-09-06,21
2020-09-07,22
2020-09-08,22
2020-09-09,20
2020-09-10,18
2020-09-11,17
2020-09-12,16
2020-09-13,16
2020-09-14,18
2020-09-15,18
2020-09-16,19
2020-09-17,17
2020-09-18,16
2020-09-19,15
2020-09-20,15
2020-09-21,18
2020-09-22,17
2020-09-23,16
2020-09-24,15
2020-09-25,15
2020-09-26,14
2020-09-27,14
2020-09-28,15
2020-09-29,15
2020-09-30,14
2020-10-01,14
2020-10-02,15
2020-10-03,13
2020-10-04,13
2020-10-05,15
2020-10-06,14
2020-10-07,14
2020-10-08,14
2020-10-09,15
2020-10-10,16
2020-10-11,15
2020-10-12,16
2020-10-13,16
2020-10-14,16
2020-10-15,16
2020-10-16,15
2020-10-17,14
2020-10-18,14
2020-10-19,16
2020-10-20,20
2020-10-21,33
2020-10-22,35
2020-10-23,28
2020-10-24,23
2020-10-25,22
2020-10-26,26
2020-10-27,29
2020-10-28,31
2020-10-29,26
2020-10-30,25
2020-10-31,26
2020-11-01,24
2020-11-02,26
2020-11-03,23
2020-11-04,24
2020-11-05,36
2020-11-06,41
2020-11-07,31
2020-11-08,29
2020-11-09,32
2020-11-10,27
2020-11-11,28
2020-11-12,32
2020-11-13,35
2020-11-14,29
2020-11-15,25
2020-11-16,34
2020-11-17,47
2020-11-18,56
2020-11-19,45
2020-11-20,48
2020-11-21,47
2020-11-22,41
2020-11-23,43
2020-11-24,58
2020-11-25,54
2020-11-26,60
2020-11-27,44
2020-11-28,37
2020-11-29,35
2020-11-30,50
2020-12-01,52
2020-12-02,42
2020-12-03,39
2020-12-04,38
2020-12-05,34
2020-12-06,31
2020-12-07,34
2020-12-08,33
2020-12-09,35
2020-12-10,31
2020-12-11,33
2020-12-12,29
2020-12-13,30
2020-12-14,31
2020-12-15,32
2020-12-16,61
2020-12-17,100
2020-12-18,66
2020-12-19,57
2020-12-20,56
2020-12-21,62
2020-12-22,52
2020-12-23,49
2020-12-24,44
2020-12-25,49
2020-12-26,72
2020-12-27,96
2020-12-28,75
2020-12-29,64
2020-12-30,76
2020-12-31,76
2021-01-01,73
